name,playcount,listeners,mbid,url,streamable,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,image/4/#text,image/4/size
Martin Garrix,29798,13557,3e1f2ee4-16be-4406-bf18-6173840cf2b1,http://www.last.fm/music/Martin+Garrix,0,http://userserve-ak.last.fm/serve/34/95135771.png,small,http://userserve-ak.last.fm/serve/64/95135771.png,medium,http://userserve-ak.last.fm/serve/126/95135771.png,large,http://userserve-ak.last.fm/serve/252/95135771.png,extralarge,http://userserve-ak.last.fm/serve/_/95135771/Martin+Garrix.png,mega
Boards of Canada,120428,13546,69158f97-4c07-4c4e-baf8-4e4ab1ed666e,http://www.last.fm/music/Boards+of+Canada,0,http://userserve-ak.last.fm/serve/34/92840641.png,small,http://userserve-ak.last.fm/serve/64/92840641.png,medium,http://userserve-ak.last.fm/serve/126/92840641.png,large,http://userserve-ak.last.fm/serve/252/92840641.png,extralarge,http://userserve-ak.last.fm/serve/500/92840641/Boards+of+Canada+bocfisheye.png,mega
Yann Tiersen,62412,13555,12d432a3-feb0-49b1-a107-d20751880764,http://www.last.fm/music/Yann+Tiersen,0,http://userserve-ak.last.fm/serve/34/21942063.jpg,small,http://userserve-ak.last.fm/serve/64/21942063.jpg,medium,http://userserve-ak.last.fm/serve/126/21942063.jpg,large,http://userserve-ak.last.fm/serve/252/21942063.jpg,extralarge,http://userserve-ak.last.fm/serve/500/21942063/Yann+Tiersen+imagee3652.jpg,mega
Frank Sinatra,65858,13521,197450cd-0124-4164-b723-3c22dd16494d,http://www.last.fm/music/Frank+Sinatra,0,http://userserve-ak.last.fm/serve/34/8521815.jpg,small,http://userserve-ak.last.fm/serve/64/8521815.jpg,medium,http://userserve-ak.last.fm/serve/126/8521815.jpg,large,http://userserve-ak.last.fm/serve/252/8521815.jpg,extralarge,http://userserve-ak.last.fm/serve/_/8521815/Frank+Sinatra.jpg,mega
Train,31245,13504,bfd5aec5-62a2-4560-a316-7c46c17babda,http://www.last.fm/music/Train,0,http://userserve-ak.last.fm/serve/34/40897923.png,small,http://userserve-ak.last.fm/serve/64/40897923.png,medium,http://userserve-ak.last.fm/serve/126/40897923.png,large,http://userserve-ak.last.fm/serve/252/40897923.png,extralarge,http://userserve-ak.last.fm/serve/500/40897923/Train.png,mega
Jessie Ware,48881,13513,0fb7491a-d403-4da6-85e2-9b90cb36270b,http://www.last.fm/music/Jessie+Ware,0,http://userserve-ak.last.fm/serve/34/102909245.png,small,http://userserve-ak.last.fm/serve/64/102909245.png,medium,http://userserve-ak.last.fm/serve/126/102909245.png,large,http://userserve-ak.last.fm/serve/252/102909245.png,extralarge,http://userserve-ak.last.fm/serve/500/102909245/Jessie+Ware+V+Magazine+2015+PNG.png,mega
Feist,38715,13502,a670e05a-cea8-4b37-bce9-d82daf1a0fa4,http://www.last.fm/music/Feist,0,http://userserve-ak.last.fm/serve/34/4776428.jpg,small,http://userserve-ak.last.fm/serve/64/4776428.jpg,medium,http://userserve-ak.last.fm/serve/126/4776428.jpg,large,http://userserve-ak.last.fm/serve/252/4776428.jpg,extralarge,http://userserve-ak.last.fm/serve/_/4776428/Feist.jpg,mega
Dr. Dre,42426,13482,5f6ab597-f57a-40da-be9e-adad48708203,http://www.last.fm/music/Dr.+Dre,0,http://userserve-ak.last.fm/serve/34/2357235.jpg,small,http://userserve-ak.last.fm/serve/64/2357235.jpg,medium,http://userserve-ak.last.fm/serve/126/2357235.jpg,large,http://userserve-ak.last.fm/serve/252/2357235.jpg,extralarge,http://userserve-ak.last.fm/serve/_/2357235/Dr+Dre+DrDreDrums.jpg,mega
Van Morrison,42613,13463,a41ac10f-0a56-4672-9161-b83f9b223559,http://www.last.fm/music/Van+Morrison,0,http://userserve-ak.last.fm/serve/34/108152.jpg,small,http://userserve-ak.last.fm/serve/64/108152.jpg,medium,http://userserve-ak.last.fm/serve/126/108152.jpg,large,http://userserve-ak.last.fm/serve/252/108152.jpg,extralarge,http://userserve-ak.last.fm/serve/500/108152/Van+Morrison.jpg,mega
The Fray,36983,13375,2ddd167f-5b8a-4372-b350-6ad50493bac0,http://www.last.fm/music/The+Fray,0,http://userserve-ak.last.fm/serve/34/96615597.png,small,http://userserve-ak.last.fm/serve/64/96615597.png,medium,http://userserve-ak.last.fm/serve/126/96615597.png,large,http://userserve-ak.last.fm/serve/252/96615597.png,extralarge,http://userserve-ak.last.fm/serve/500/96615597/The+Fray+PNG.png,mega
Kid Cudi,50156,13327,57b08602-7ea7-4a6d-a93c-72cb1ae0053c,http://www.last.fm/music/Kid+Cudi,0,http://userserve-ak.last.fm/serve/34/77814762.png,small,http://userserve-ak.last.fm/serve/64/77814762.png,medium,http://userserve-ak.last.fm/serve/126/77814762.png,large,http://userserve-ak.last.fm/serve/252/77814762.png,extralarge,http://userserve-ak.last.fm/serve/500/77814762/Kid+Cudi.png,mega
The Notorious B.I.G.,44232,13252,d5d97b2b-b83b-4976-814a-056d9076c8c3,http://www.last.fm/music/The+Notorious+B.I.G.,0,http://userserve-ak.last.fm/serve/34/84685941.png,small,http://userserve-ak.last.fm/serve/64/84685941.png,medium,http://userserve-ak.last.fm/serve/126/84685941.png,large,http://userserve-ak.last.fm/serve/252/84685941.png,extralarge,http://userserve-ak.last.fm/serve/500/84685941/The+Notorious+BIG+biggie.png,mega
J. Cole,71213,13238,875203e1-8e58-4b86-8dcb-7190faf411c5,http://www.last.fm/music/J.+Cole,0,http://userserve-ak.last.fm/serve/34/102579059.png,small,http://userserve-ak.last.fm/serve/64/102579059.png,medium,http://userserve-ak.last.fm/serve/126/102579059.png,large,http://userserve-ak.last.fm/serve/252/102579059.png,extralarge,http://userserve-ak.last.fm/serve/500/102579059/J+Cole+jcole.png,mega
The Tallest Man on Earth,65854,13183,7e35659f-f3bb-4c28-bcf5-47bd5cfa2bca,http://www.last.fm/music/The+Tallest+Man+on+Earth,0,http://userserve-ak.last.fm/serve/34/78639456.jpg,small,http://userserve-ak.last.fm/serve/64/78639456.jpg,medium,http://userserve-ak.last.fm/serve/126/78639456.jpg,large,http://userserve-ak.last.fm/serve/252/78639456.jpg,extralarge,http://userserve-ak.last.fm/serve/500/78639456/The+Tallest+Man+on+Earth+ttmoe2012.jpg,mega
Spoon,47552,13161,0db1ad0b-3ac1-4425-b10a-3142e795895c,http://www.last.fm/music/Spoon,0,http://userserve-ak.last.fm/serve/34/303670.jpg,small,http://userserve-ak.last.fm/serve/64/303670.jpg,medium,http://userserve-ak.last.fm/serve/126/303670.jpg,large,http://userserve-ak.last.fm/serve/252/303670.jpg,extralarge,http://userserve-ak.last.fm/serve/500/303670/Spoon.jpg,mega
Nick Cave & The Bad Seeds,83050,13095,172e1f1a-504d-4488-b053-6344ba63e6d0,http://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds,0,http://userserve-ak.last.fm/serve/34/23707521.jpg,small,http://userserve-ak.last.fm/serve/64/23707521.jpg,medium,http://userserve-ak.last.fm/serve/126/23707521.jpg,large,http://userserve-ak.last.fm/serve/252/23707521.jpg,extralarge,http://userserve-ak.last.fm/serve/_/23707521/Nick+Cave++The+Bad+Seeds+NickCaveandtheBadSeeds.jpg,mega
Courtney Barnett,69525,13086,55111838-f001-494a-a1b5-9d818db85810,http://www.last.fm/music/Courtney+Barnett,0,http://userserve-ak.last.fm/serve/34/99860867.jpg,small,http://userserve-ak.last.fm/serve/64/99860867.jpg,medium,http://userserve-ak.last.fm/serve/126/99860867.jpg,large,http://userserve-ak.last.fm/serve/252/99860867.jpg,extralarge,http://userserve-ak.last.fm/serve/500/99860867/Courtney+Barnett+8F3A5960+copy.jpg,mega
Phil Collins,44365,12970,401c3991-b76b-499d-8082-9f2df958ef78,http://www.last.fm/music/Phil+Collins,0,http://userserve-ak.last.fm/serve/34/2160271.jpg,small,http://userserve-ak.last.fm/serve/64/2160271.jpg,medium,http://userserve-ak.last.fm/serve/126/2160271.jpg,large,http://userserve-ak.last.fm/serve/252/2160271.jpg,extralarge,http://userserve-ak.last.fm/serve/_/2160271/Phil+Collins.jpg,mega
Toro y Moi,70420,12908,3a6d6481-142d-423f-91d4-55bbfff318ed,http://www.last.fm/music/Toro+y+Moi,0,http://userserve-ak.last.fm/serve/34/70694590.png,small,http://userserve-ak.last.fm/serve/64/70694590.png,medium,http://userserve-ak.last.fm/serve/126/70694590.png,large,http://userserve-ak.last.fm/serve/252/70694590.png,extralarge,http://userserve-ak.last.fm/serve/500/70694590/Toro+y+Moi+toro+PNG.png,mega
